Fecha,NombrePlanta,g_men_p,SPI3
1995-07-01,SALVAJINA,2.5654833333333333,0.7865488719735615
1995-08-01,SALVAJINA,3.2441129032258065,1.135870393609571
1995-09-01,SALVAJINA,2.75194,0.5937213990343806
1995-10-01,SALVAJINA,2.66309,0.26758172778450495
1995-11-01,SALVAJINA,3.324222666666666,0.37339385727363483
1995-12-01,SALVAJINA,1.7267677419354837,0.9592696627722984
1996-01-01,SALVAJINA,3.458390322580645,0.556555224446242
1996-02-01,SALVAJINA,6.215893448275862,0.543852853995549
1996-03-01,SALVAJINA,4.62940064516129,0.3608554785115565
1996-04-01,SALVAJINA,3.7277026666666666,0.7092804468333915
1996-05-01,SALVAJINA,1.922594193548387,0.8207639093248277
1996-06-01,SALVAJINA,2.4959766666666665,1.3549055176088072
1996-07-01,SALVAJINA,4.422986774193548,1.1940467162712018
1996-08-01,SALVAJINA,3.136525806451613,0.7901218367000948
1996-09-01,SALVAJINA,2.1378293333333334,-0.3873084952113013
1996-10-01,SALVAJINA,1.9690038709677418,-0.7976924693623944
1996-11-01,SALVAJINA,2.275151333333333,-1.4117671129822988
1996-12-01,SALVAJINA,2.9966570967741935,-1.168780528350935
1997-01-01,SALVAJINA,5.029866451612903,-0.06377064023345502
1997-02-01,SALVAJINA,5.518529285714286,0.5489193722912913
1997-03-01,SALVAJINA,3.0385954838709677,0.11642190608084024
1997-04-01,SALVAJINA,2.3555683333333333,-0.5040913211672777
1997-05-01,SALVAJINA,1.8771929032258063,-0.84097393498015
1997-06-01,SALVAJINA,1.9747563333333331,0.26653233761371764
1997-07-01,SALVAJINA,3.3141270967741936,-0.38072547963527836
1997-08-01,SALVAJINA,3.0397935483870966,-0.5114445126967864
1997-09-01,SALVAJINA,2.117148,-0.7300048686657679
1997-10-01,SALVAJINA,1.0457193548387096,-0.1977372131406514
1997-11-01,SALVAJINA,1.5491643333333334,0.8836577818508868
1997-12-01,SALVAJINA,1.682308064516129,-0.6365930846039477
1998-01-01,SALVAJINA,1.3519290322580644,-1.2629114821223755
1998-02-01,SALVAJINA,0.9809196428571428,-1.9317071039839808
1998-03-01,SALVAJINA,0.843222258064516,-0.7363252183612761
1998-04-01,SALVAJINA,1.3483333333333332,0.7213078793020721
1998-05-01,SALVAJINA,0.9694290322580644,0.9439097773611774
1998-06-01,SALVAJINA,1.161494,1.2105020005020246
1998-07-01,SALVAJINA,1.6138651612903225,0.37372537905953784
1998-08-01,SALVAJINA,1.9105796774193549,0.5956001335231917
1998-09-01,SALVAJINA,2.3278659999999998,0.5717356240121292
1998-10-01,SALVAJINA,2.221533870967742,-0.036670608498805546
1998-11-01,SALVAJINA,3.4642826666666666,0.29204187436103246
1998-12-01,SALVAJINA,6.28548,-0.014698959639391385
1999-01-01,SALVAJINA,4.97635064516129,1.4989409926500032
1999-02-01,SALVAJINA,5.387695,1.935390074243262
1999-03-01,SALVAJINA,5.144538709677419,2.299645752069084
1999-04-01,SALVAJINA,4.609500333333333,1.7998883273410387
1999-05-01,SALVAJINA,3.963759677419355,0.2170260270136508
1999-06-01,SALVAJINA,2.933364333333333,-0.3720391510134815
1999-07-01,SALVAJINA,2.4334454838709676,-0.960997016780992
1999-08-01,SALVAJINA,2.41341,-0.02147739929817649
1999-09-01,SALVAJINA,2.140001,0.9043363617389649
1999-10-01,SALVAJINA,2.798747741935484,1.3511157848099014
1999-11-01,SALVAJINA,3.909146333333333,1.2715598701015358
1999-12-01,SALVAJINA,5.60624870967742,0.8777117599693909
2000-01-01,SALVAJINA,5.861008387096774,0.8052364064180655
2000-02-01,SALVAJINA,5.614262222222222,1.1572500263589935
2000-03-01,SALVAJINA,5.7812141935483865,1.206344131044197
2000-04-01,SALVAJINA,5.224777733333332,1.62656205348715
2000-05-01,SALVAJINA,3.6317081935483873,1.6889209155268448
2000-06-01,SALVAJINA,3.764888076923077,1.5840166197329135
2000-07-01,SALVAJINA,3.021541516129032,1.7996268188665494
2000-08-01,SALVAJINA,3.939984870967742,1.2600507388784825
2000-09-01,SALVAJINA,2.8182483333333335,1.2638549080416759
2000-10-01,SALVAJINA,1.685031,0.8273593960406685
2000-11-01,SALVAJINA,2.1968343999999997,0.3128240089473986
2000-12-01,SALVAJINA,2.3953242258064513,-0.519897291929919
2001-01-01,SALVAJINA,2.5085178064516125,-1.0572905224203013
2001-02-01,SALVAJINA,1.5949790714285714,-0.796959107085986
2001-03-01,SALVAJINA,1.5910140967741935,0.3957872935800739
2001-04-01,SALVAJINA,1.7515298,0.1824238401550815
2001-05-01,SALVAJINA,1.1159574838709676,0.3655672078742431
2001-06-01,SALVAJINA,1.1671594333333333,-0.7385486209325964
2001-07-01,SALVAJINA,1.8857257096774191,0.11911889389634656
2001-08-01,SALVAJINA,2.1732442258064517,-0.7913699926136653
2001-09-01,SALVAJINA,1.7744491333333334,0.7314134975307375
2001-10-01,SALVAJINA,1.5779810322580645,0.3537325710027972
2001-11-01,SALVAJINA,1.3274480666666666,1.2091205156521645
2001-12-01,SALVAJINA,1.7725027741935484,0.8143915023320576
2002-01-01,SALVAJINA,3.641664709677419,0.6805276179687456
2002-02-01,SALVAJINA,2.65005472,-0.37365711436079274
2002-03-01,SALVAJINA,2.5020090967741933,-0.556296388716508
2002-04-01,SALVAJINA,2.1113340999999997,0.4209443033536624
2002-05-01,SALVAJINA,1.739827193548387,0.16937278028299851
2002-06-01,SALVAJINA,2.6741705999999996,-0.4878405388050844
2002-07-01,SALVAJINA,2.2099866451612904,-1.6351501027978723
