Fecha,PPP Bolsa Mes Nuevo,PPP de escasez,Precio Min. Bolsa diario,Precio Max. Bolsa diario,PPP Bolsa diario,Precio Escasez Activación
2000-01-01 00:00:00,37.67095130481624,,32.2847878166,46.2847878166,33.006313,
2000-01-02 00:00:00,37.67095130481624,,32.2847878166,50.2847878166,33.382837,
2000-01-03 00:00:00,37.67095130481624,,32.2847878166,50.2847878166,38.493996,
2000-01-04 00:00:00,37.67095130481624,,32.2847878166,50.2847878166,42.977574,
2000-01-05 00:00:00,37.67095130481624,,32.2847878166,51.2847878166,41.478357,
2000-01-06 00:00:00,37.67095130481624,,32.2847878166,48.7847878166,37.280803,
2000-01-07 00:00:00,37.67095130481624,,32.2847878166,46.2847878166,39.452421,
2000-01-08 00:00:00,37.67095130481624,,32.2847878166,32.2847878166,32.284787,
2000-01-09 00:00:00,37.67095130481624,,32.2847878166,32.2847878166,32.284787,
2000-01-10 00:00:00,37.67095130481624,,32.2847878166,32.2847878166,32.284787,
2000-01-11 00:00:00,37.67095130481624,,32.2847878166,55.2847878166,34.687937,
2000-01-12 00:00:00,37.67095130481624,,32.2847878166,50.2847878166,36.620469,
2000-01-13 00:00:00,37.67095130481624,,32.2847878166,50.2847878166,36.654893,
2000-01-14 00:00:00,37.67095130481624,,32.2847878166,50.2847878166,37.50726,
2000-01-15 00:00:00,37.67095130481624,,32.2847878166,50.2847878166,33.331561,
2000-01-16 00:00:00,37.67095130481624,,32.2847878166,32.2847878166,32.284787,
2000-01-17 00:00:00,37.67095130481624,,32.2847878166,50.2847878166,34.291175,
2000-01-18 00:00:00,37.67095130481624,,32.2847878166,55.7847878166,39.828726,
2000-01-19 00:00:00,37.67095130481624,,32.2847878166,56.2847878166,36.851883,
2000-01-20 00:00:00,37.67095130481624,,32.2847878166,56.2847878166,39.752753,
2000-01-21 00:00:00,37.67095130481624,,32.2847878166,61.2847878166,38.210594,
2000-01-22 00:00:00,37.67095130481624,,32.2847878166,53.7847878166,35.509122,
2000-01-23 00:00:00,37.67095130481624,,32.2847878166,33.2847878166,32.345882,
2000-01-24 00:00:00,37.67095130481624,,32.2847878166,50.2847878166,34.637318,
2000-01-25 00:00:00,37.67095130481624,,32.2847878166,50.2847878166,38.173649,
2000-01-26 00:00:00,37.67095130481624,,32.2847878166,51.2847878166,45.451629,
2000-01-27 00:00:00,37.67095130481624,,33.2847878166,50.2847878166,44.40417,
2000-01-28 00:00:00,37.67095130481624,,33.2847878166,51.2847878166,47.258727,
2000-01-29 00:00:00,37.67095130481624,,33.2847878166,51.2847878166,37.971612,
2000-01-30 00:00:00,37.67095130481624,,33.2847878166,51.2847878166,36.077824,
2000-01-31 00:00:00,37.67095130481624,,33.2847878166,51.2847878166,45.571109,
2000-02-01 00:00:00,41.323844570399366,,33.7998817876,51.7998817876,41.211037,
2000-02-02 00:00:00,41.323844570399366,,33.7998817876,51.7998817876,38.380456,
2000-02-03 00:00:00,41.323844570399366,,33.7998817876,51.7998817876,35.236255,
2000-02-04 00:00:00,41.323844570399366,,33.7998817876,51.7998817876,35.854049,
2000-02-05 00:00:00,41.323844570399366,,33.7998817876,49.7998817876,34.881462,
2000-02-06 00:00:00,41.323844570399366,,33.7998817876,35.8008817876,33.924116,
2000-02-07 00:00:00,41.323844570399366,,33.7998817876,51.7998817876,38.04553,
2000-02-08 00:00:00,41.323844570399366,,33.7998817876,51.7998817876,39.627372,
2000-02-09 00:00:00,41.323844570399366,,33.7998817876,51.7998817876,36.592118,
2000-02-10 00:00:00,41.323844570399366,,33.7998817876,51.7998817876,38.002834,
2000-02-11 00:00:00,41.323844570399366,,33.7998817876,49.2998817876,36.899479,
2000-02-12 00:00:00,41.323844570399366,,33.7998817876,55.7998817876,42.981033,
2000-02-13 00:00:00,41.323844570399366,,33.7998817876,55.7998817876,39.193506,
2000-02-14 00:00:00,41.323844570399366,,33.7998817876,55.7998817876,43.884898,
2000-02-15 00:00:00,41.323844570399366,,33.7998817876,56.7998817876,50.937657,
2000-02-16 00:00:00,41.323844570399366,,33.7998817876,57.7998817876,49.829253,
2000-02-17 00:00:00,41.323844570399366,,33.7998817876,59.7998817876,49.599944,
2000-02-18 00:00:00,41.323844570399366,,33.7998817876,60.7998817876,53.306769,
2000-02-19 00:00:00,41.323844570399366,,23.0608817876,60.7998817876,41.220456,
2000-02-20 00:00:00,41.323844570399366,,23.0608817876,55.7998817876,38.257748,
2000-02-21 00:00:00,41.323844570399366,,33.7998817876,60.7998817876,53.166086,
2000-02-22 00:00:00,41.323844570399366,,33.7998817876,57.7998817876,44.588697,
2000-02-23 00:00:00,41.323844570399366,,33.7998817876,56.7998817876,48.771788,
2000-02-24 00:00:00,41.323844570399366,,33.7998817876,56.7998817876,45.461882,
2000-02-25 00:00:00,41.323844570399366,,23.9998817876,54.7998817876,41.593599,
2000-02-26 00:00:00,41.323844570399366,,33.7998817876,47.7998817876,36.812852,
2000-02-27 00:00:00,41.323844570399366,,33.7998817876,33.7998817876,33.799881,
2000-02-28 00:00:00,41.323844570399366,,33.7998817876,53.7998817876,35.00694,
2000-02-29 00:00:00,41.323844570399366,,33.7998817876,55.7998817876,36.236385,
2000-03-01 00:00:00,38.671257600617025,,34.1441668717,57.1441668717,36.569883,
2000-03-02 00:00:00,38.671257600617025,,34.1441668717,57.1441668717,38.388149,
2000-03-03 00:00:00,38.671257600617025,,34.1441668717,35.1441668717,34.201198,
2000-03-04 00:00:00,38.671257600617025,,34.1441668717,57.1441668717,43.070583,
